"105" "Orientalischer Garten" "Marzahn-Hellersdorf"
"106" "Kurt-Schumacher-Damm 207" "Mitte"
"107" "Alexanderplatz" "Mitte"
"108" "Brandenburger Tor" "Mitte"
"109" "Alexanderplatz" "Mitte"
"110" "Straße des 17. Juni" "Mitte"
"111" "Pariser Platz" "Mitte"
"112" "Brandenburger Tor" "Mitte"
"113" "Kurt-Schumacher-Damm 207" "Mitte"
"114" "Mitte"
"115" "Brandenburger Tor" "Mitte"
"116" "Alexanderplatz" "Mitte"
"117" "Washingtonplatz" "Mitte"
"118" "Alexanderplatz" "Mitte"
"119" "Heidestraße" "Berlin"
"120" "Kurt-Schumacher-Damm" "Mitte"
"121" "Inselbrücke" "Mitte"
"122" "Leopoldplatz" "Mitte"
"123" "Mitte"
"124" "Lehrter Str. 68" "Mitte"
"125" "Kurt-Schumacher-Damm 207" "Mitte"
"126" "Potsdamer Platz" "Mitte"
"127" "Alexanderplatz" "Mitte"
"128" "Bellevueallee" "Mitte"
"129" "Bellevueallee" "Mitte"
"130" "Straße des 17. Juni" "Mitte"
"131" "Straße des 17. Juni" "Mitte"
"132" "Straße des 17. Juni" "Mitte"
"133" "Nikolaiviertel" "Mitte"
"134" "Parchimer Allee" "Neukölln"
"135" "Hasenheide" "Neukölln"
"136" "Alt-Britz" "Neukölln"
"137" "Alt-Rudow" "Neukölln"
"138" "Buckower Damm 130" "Neukölln"
"139" "Mohriner Allee" "Neukölln"
"140" "Schierker Straße" "Neukölln"
"141" "Sangerhauser Weg" "Neukölln"
"142" "Buschrosensteig" "Neukölln"
"143" "Alt-Buckow" "Neukölln"
"144" "Alt-Buckow" "Neukölln"
"145" "Britzer Garten" "Neukölln"
"146" "Neukölln"
"147" "Backbergstraße" "Neukölln"
"148" "Alt-Britz 81" "Neukölln"
"149" "Mohriner Allee" "Neukölln"
"150" "Alfred-Scholz-Platz" "Neukölln"
"151" "Gerlinger Straße" "Neukölln"
"152" "Alt-Britz 81" "Neukölln"
"153" "Alt-Rudow" "Neukölln"
"154" "Mohriner Allee" "Neukölln"
"155" "" "Neukölln"
"156" "Mohriner Allee" "Neukölln"
"157" "Mohriner Allee" "Neukölln"
"158" "Lettberger Str. 94" "Neukölln"
"159" "Ruppiner See" "Neuruppin"
"160" "Schulplatz" "Neuruppin"
"161" "Oberkrämer"
"162" "Vehlefanz" "Oberkrämer"
"163" "Schlosspark" "Oranienburg"
"164" "Schloss" "Oranienburg"
"165" "Schlosshafen" "Oranienburg"
"166" "Schlosspark" "Oranienburg"
"167" "Schlossplatz" "Oranienburg"
"168" "Schloss" "Oranienburg"
"169" "Oranienburg"
"170" "Schlosspark" "Oranienburg"
"171" "Schlosspark" "Oranienburg"
"172" "Schlosspark" "Oranienburg"
"173" "Schlosspark" "Oranienburg"
"174" "Schlossplatz" "Oranienburg"
"175" "Schloss" "Oranienburg"
"176" "Am Bürgerpark 15 - 18" "Pankow"
"177" "Ossietzkystr. 44/45" "Pankow"
"178" "Französisch Buchholz" "Pankow"
"179" "Pankow"
"180" "Weißensee" "Pankow"
"181" "Fehrbelliner Straße" "Pankow"
"182" "Breite Straße" "Pankow"
"183" "Hauptstraße" "Pankow"
"184" "Marktplatz/Breite Straße" "Pankow"
"185" "Lange Brücke" "Potsdam"
"186" "Lange Brücke" "Potsdam"
"187" "Krongut Bornstedt" "Potsdam"
"188" "Krongut Bornstedt" "Potsdam"
"189" "Krongut Bornstedt" "Potsdam"
"190" "Großer Wiesenpark" "Potsdam"
"191" "Krongut Bornstedt" "Potsdam"
"192" "Neuer Lustgarten" "Potsdam"
"193" "Innenstadt" "Potsdam"
"194" "Großer Wiesenpark" "Potsdam"
"195" "Holländisches Viertel" "Potsdam"
"196" "Großer Wiesenpark" "Potsdam"
"197" "Großer Wiesenpark" "Potsdam"
"198" "Großer Wiesenpark" "Potsdam"
"199" "Großer Wiesenpark" "Potsdam"
"200" "Ludolfingerplatz" "Reinickendorf"
"201" "Volkspark Wittenau" "Reinickendorf"
"202" "Finsterwalder Straße" "Reinickendorf"
"203" "Dorfaue Alt-Wittenau" "Reinickendorf"
"204" "Zeltinger Platz" "Reinickendorf"
"205" "Auguste-Viktoria-Allee 95" "Reinickendorf"
"206" "" "Reinickendorf"
"207" "Greenwichpromenade" "Reinickendorf"
"208" "Freizeitpark Lübars" "Reinickendorf"
"209" "Freibad, Lübars" "Reinickendorf"
"210" "Freibad Lübars" "Reinickendorf"
"211" "Waidmannsluster Damm" "Reinickendorf"
"212" "Finsterwalder Straße" "Reinickendorf"
"213" "Freibad Lübars" "Reinickendorf"
"214" "Haus am See" "Reinickendorf"
"215" "Ludolfingerplatz" "Reinickendorf"
"216" "Schildow" "Schildow"
"217" "MAFZ Erlebnispark Paaren" "Schönwalde-Glien"
"218" "MAFZ Erlebnispark Paaren" "Schönwalde-Glien"
"219" "MAFZ Erlebnispark Paaren" "Schönwalde-Glien"
"220" "MAFZ Erlebnispark Paaren" "Schönwalde-Glien"
"221" "Paaren im Glien" "Schönwalde-Glien"
"222" "MAFZ Erlebnispark Paaren" "Schönwalde-Glien"
"223" "MAFZ Erlebnispark Paaren" "Schönwalde-Glien"
"224" "Paaren im Glien" "Schönwalde-Glien"
"225" "Schwante" "Oberkrämer"
"226" "Caputh" "Schwielowsee"
"227" "Spandau Citadel" "Spandau"
"228" "Spandau Citadel" "Spandau"
"229" "Spandau Citadel" "Spandau"
"230" "Markt" "Spandau"
"231" "Spandau Citadel" "Spandau"
"232" "Markt" "Spandau"
"233" "Spandau Citadel" "Spandau"
"234" "Gartenstadt Staaken" "Spandau"
"235" "Lindenufer" "Spandau"
"236" "Scharfe Lanke" "Spandau"
"237" "Evangelisches Johannesstift" "Spandau"
"238" "Markt" "Spandau"
"239" "Luftwaffenmuseum" "Spandau"
"240" "" "Spandau"
"241" "Imchenallee" "Spandau"
"242" "Markt" "Spandau"
"243" "Altstadt Spandau" "Spandau"
"244" "Luftwaffenmuseum" "Spandau"
"245" "Spandau Citadel" "Spandau"
"246" "Evangelisches Johannesstift" "Spandau"
"247" "Spandau Citadel" "Spandau"
"248" "Spandau"
"249" "Spandau Citadel" "Spandau"
"250" "Königin-Luise-Str. 49" "Steglitz-Zehlendorf"
"251" "Ferdinandstr. 34/35" "Steglitz-Zehlendorf"
"252" "Königin-Luise-Str. 49" "Steglitz-Zehlendorf"
"253" "S Mexikoplatz" "Steglitz-Zehlendorf"
